transcript_id	gene_id	log2fc	qval	five_prime	three_prime	intergenic	mean_obs	coding_potential	biotype
MSTRG.3823.14	MSTRG.3823	-1.08995091818342	3.5284161841459e-17	-	-	-	5.98431863507567	0.00177053823359817	novel
MSTRG.16834.15	MSTRG.16834	-1.53818354026443	5.74089743334845e-17	-	X	-	6.35374043133695	0.987959096026401	novel
MSTRG.9947.2	MSTRG.9947	-1.10105089713207	6.953301984453e-17	X	X	-	6.7490137601436	0.978268094408194	novel
MSTRG.30461.3	MSTRG.30461	-0.809309036526464	3.13298995669494e-16	-	X	-	6.93657143603301	0.424920250255194	novel
MSTRG.31916.1	MSTRG.31916	0.72802006644573	4.36020053587447e-16	-	-	-	6.81192724975843	0.659115215275458	novel
MSTRG.16290.2	MSTRG.16290	-1.17448171163849	4.48022907790053e-16	-	X	-	5.49544675533776	0.772074091748111	novel
MSTRG.22966.3	MSTRG.22966	-2.22467796772734	9.62671643215205e-16	X	X	-	5.7111481639887	0.635727674249083	novel
MSTRG.18601.1	MSTRG.18601	1.40336661416372	1.17783305225773e-15	X	X	-	6.29689296790772	2.77973259892872e-09	novel
MSTRG.18271.5	MSTRG.18271	-1.13999280831275	1.84777885477874e-15	-	-	-	5.66577841363058	0.0070113769848317	novel
MSTRG.19315.8	MSTRG.19315	1.99795658344365	1.9184069689611e-15	X	X	-	6.2283022731468	0.140618758024437	novel
MSTRG.14957.1	MSTRG.14957	-4.03363395843691	2.87321013588199e-15	X	X	-	3.47070670776479	0.0314012000893021	novel
MSTRG.3824.1	MSTRG.3824	-1.01398430965128	3.94693943279926e-15	X	-	-	8.2094114451274	0.0552562216425559	novel
MSTRG.27804.11	MSTRG.27804	-2.3254298158888	4.12150515011971e-15	X	-	-	4.46442973883081	0.00813982956613689	novel
MSTRG.29431.9	MSTRG.29431	-1.03721756956081	4.5244841751024e-15	X	X	-	5.58676243102306	0.00285899325740428	novel
MSTRG.3557.3	MSTRG.3557	-0.904257669542281	6.1996845456902e-15	X	-	-	8.02643103274966	0.452087092292316	novel
MSTRG.30616.6	MSTRG.30616	-1.51083359422181	6.42804925098735e-15	-	-	-	5.01866636461085	0.00867596187406721	novel
MSTRG.26950.2	MSTRG.26950	-0.921949055029274	7.98006096137226e-15	X	X	-	6.24648852536485	0.000726732467781646	novel
MSTRG.16287.1	MSTRG.16287	-2.6788552094545	1.06407677061217e-14	-	X	X	3.56491260241733	0.142945130204932	novel
MSTRG.29724.3	MSTRG.29724	-5.93532481085674	1.65977162015531e-14	-	-	-	2.29345642669005	1.32607058954934e-05	novel
